Word,Category
bad,Abstract
good,Abstract
negative,Abstract
positive,Abstract
affable,Affection
affectionate,Affection
aloof,Affection
amiable,Affection
apathetic,Affection
austere,Affection
benevolent,Affection
benign,Affection
caring,Affection
charitable,Affection
comforting,Affection
comradely,Affection
cordial,Affection
disdainful,Affection
distant,Affection
eager,Affection
earnest,Affection
emotionless,Affection
enthusiastic,Affection
fatherly,Affection
fond,Affection
forbidding,Affection
formal,Affection
frigid,Affection
genial,Affection
genuine,Affection
good-natured,Affection
half-hearted,Affection
haughty,Affection
heartfelt,Affection
hearty,Affection
hospitable,Affection
hostile,Affection
impassive,Affection
impersonal,Affection
indifferent,Affection
inhospitable,Affection
kind,Affection
kindly,Affection
lackadaisical,Affection
liberal,Affection
loving,Affection
maternal,Affection
motherly,Affection
non-committal,Affection
offhand,Affection
passionless,Affection
paternal,Affection
perfunctory,Affection
phlegmatic,Affection
pleasant,Affection
remote,Affection
reserved,Affection
sincere,Affection
solicitous,Affection
stiff,Affection
stony,Affection
stony-hearted,Affection
supercilious,Affection
sympathetic,Affection
tender,Affection
uncommunicative,Affection
unconcerned,Affection
unemotional,Affection
unenthusiastic,Affection
unfeeling,Affection
unfriendly,Affection
uninterested,Affection
unmoved,Affection
unresponsive,Affection
unsympathetic,Affection
unwelcoming,Affection
welcoming,Affection
wholehearted,Affection
withdrawn,Affection
wooden,Affection
acrimonious,Passion
aggressive,Passion
angry,Passion
animated,Passion
ardent,Passion
boiling,Passion
calm,Passion
competitive,Passion
cut-throat,Passion
dispassionate,Passion
dog-eat-dog,Passion
enraged,Passion
ferocious,Passion
fervent,Passion
feverish,Passion
fierce,Passion
fiery,Passion
fuming,Passion
furious,Passion
heated,Passion
impassioned,Passion
indignant,Passion
inflamed,Passion
infuriated,Passion
intense,Passion
keen,Passion
lively,Passion
passionate,Passion
powerful,Passion
raging,Passion
ruthless,Passion
savage,Passion
seething,Passion
spirited,Passion
stormy,Passion
strong,Passion
tempestuous,Passion
violent,Passion
weak,Passion
wrathful,Passion
chilly,TemperatureCool
cold,TemperatureCold
cool,TemperatureCool
frosty,TemperatureCold
glacial,TemperatureCold
hot,TemperatureHot
lukewarm,TemperatureCool
tepid,TemperatureCool
warm,TemperatureWarm
